person_id,arrest_id,filing_date,charge_degree,offense_category,arrest_date_event
14780,7048388,2016-05-16,misdemeanor,property,2016-05-16
1063563,6700260,2016-08-28,misdemeanor,property,2016-08-28
79024,6759183,2016-08-10,misdemeanor,other,2016-08-10
1439871,7280409,2016-04-01,misdemeanor,other,2016-04-01
21493,7539367,2016-01-20,misdemeanor,property,2016-01-20
1063563,4827776,2017-11-13,misdemeanor,property,2017-11-13
14773,6092650,2017-02-20,misdemeanor,violent,2017-02-20
1439871,5408979,2017-08-03,misdemeanor,property,2017-08-03
14773,6131689,2017-02-10,misdemeanor,violent,2017-02-10
1065197,5821772,2017-05-01,misdemeanor,property,2017-05-01
1064456,4704077,2017-12-03,misdemeanor,violent,2017-12-03
1065717,5191915,2017-09-12,misdemeanor,drug,2017-09-12
21493,5595431,2017-06-23,misdemeanor,drug,2017-06-23
14260,3121947,2018-08-27,misdemeanor,violent,2018-08-27
1065197,2510506,2018-12-19,misdemeanor,violent,2018-12-19
1063563,4332879,2018-02-14,misdemeanor,drug,2018-02-14
1064456,2953487,2018-09-26,misdemeanor,violent,2018-09-26
1065214,3854593,2018-04-27,misdemeanor,violent,2018-04-27
21493,2652491,2018-11-23,misdemeanor,violent,2018-11-23
79024,3017056,2018-09-14,misdemeanor,property,2018-09-14
1063563,4332878,2018-02-14,misdemeanor,property,2018-02-14
79024,3017057,2018-09-14,misdemeanor,property,2018-09-14
14780,1052052,2019-08-31,misdemeanor,property,2019-08-31
1439871,1951554,2019-04-03,misdemeanor,other,2019-04-03
1065449,1591013,2019-05-20,misdemeanor,drug,2019-05-20
1065449,867349,2019-10-05,misdemeanor,property,2019-10-05
1065449,6695529,2020-10-01,misdemeanor,drug,2020-10-01
1417936,8677144,2020-11-19,misdemeanor,other,2020-11-19
1439871,1699139,2020-05-16,misdemeanor,drug,2020-05-16
21406,231763,2020-02-14,misdemeanor,violent,2020-02-14
14836,1695802,2020-05-15,misdemeanor,violent,2020-05-15
78786,11166324,2012-09-26,misdemeanor,violent,2012-09-26
1448386,11383129,2012-07-14,misdemeanor,property,2012-07-14
78786,11434679,2012-06-26,misdemeanor,other,2012-06-26
78786,9951702,2013-12-01,misdemeanor,drug,2013-12-01
1063563,10745585,2013-02-28,misdemeanor,property,2013-02-28
78786,10701542,2013-03-16,misdemeanor,violent,2013-03-16
79024,9037003,2014-09-22,felony,violent,2014-09-22
79024,9163565,2014-08-12,misdemeanor,other,2014-08-12
14780,9502200,2014-04-28,felony,property,2014-04-28
1439871,9611734,2014-03-22,felony,property,2014-03-22
79024,8382177,2015-05-03,misdemeanor,other,2015-05-03
1063563,7907895,2015-09-29,felony,property,2015-09-29
78786,8463283,2015-04-07,misdemeanor,violent,2015-04-07
20010,8105281,2015-07-30,misdemeanor,violent,2015-07-30
1439871,8121436,2015-07-26,felony,property,2015-07-26
78786,7743327,2015-11-18,misdemeanor,other,2015-11-18
1063563,7960815,2015-09-12,felony,property,2015-09-12
79024,8240329,2015-06-18,misdemeanor,violent,2015-06-18
19918,8347546,2015-05-13,misdemeanor,violent,2015-05-13
79024,6724211,2016-08-20,misdemeanor,property,2016-08-20
78786,6898779,2016-06-30,misdemeanor,property,2016-06-30
1462612,6794198,2016-07-30,misdemeanor,property,2016-07-30
78786,6512804,2016-10-20,felony,violent,2016-10-20
1063563,6547915,2016-10-11,misdemeanor,property,2016-10-11
20010,6983711,2016-06-04,misdemeanor,drug,2016-06-04
78786,6645202,2016-09-12,misdemeanor,violent,2016-09-12
79024,6831590,2016-07-18,misdemeanor,violent,2016-07-18
1465404,6759197,2016-08-10,misdemeanor,violent,2016-08-10
1462612,7454785,2016-02-17,misdemeanor,property,2016-02-17
1439871,7266019,2016-04-06,felony,property,2016-04-06
14773,6072762,2017-02-25,felony,violent,2017-02-25
14780,6255045,2017-01-09,misdemeanor,drug,2017-01-09
79024,4827774,2017-11-13,misdemeanor,property,2017-11-13
9044,5270593,2017-08-30,felony,drug,2017-08-30
14780,5834772,2017-04-27,misdemeanor,drug,2017-04-27
14836,5627332,2017-06-18,misdemeanor,violent,2017-06-18
20010,2594291,2018-12-04,misdemeanor,property,2018-12-04
1065031,4549790,2018-01-06,felony,property,2018-01-06
1065548,2977733,2018-09-22,misdemeanor,property,2018-09-22
1065333,3940175,2018-04-14,misdemeanor,violent,2018-04-14
19918,2977729,2018-09-22,misdemeanor,property,2018-09-22
1065548,3512263,2018-06-30,misdemeanor,drug,2018-06-30
1065548,3512264,2018-06-30,felony,property,2018-06-30
1065548,3520330,2018-06-28,misdemeanor,property,2018-06-28
1065717,3706923,2018-05-25,misdemeanor,property,2018-05-25
78820,4003633,2018-04-03,misdemeanor,violent,2018-04-03
14773,1071340,2019-08-27,misdemeanor,violent,2019-08-27
14260,2190368,2019-02-21,misdemeanor,violent,2019-02-21
14773,1065884,2019-08-28,felony,violent,2019-08-28
14413,810512,2019-10-16,misdemeanor,property,2019-10-16
14780,961698,2019-09-17,misdemeanor,drug,2019-09-17
21493,755721,2019-10-28,misdemeanor,violent,2019-10-28
1475717,6260408,2020-09-25,misdemeanor,property,2020-09-25
21493,4902594,2020-08-27,misdemeanor,violent,2020-08-27
14836,1699977,2020-05-16,misdemeanor,other,2020-05-16
79024,35585,2020-04-17,misdemeanor,other,2020-04-17
14780,11933282,2014-07-04,misdemeanor,property,2014-07-04
78786,11905717,2012-01-13,misdemeanor,drug,2012-01-13
14780,11909369,2012-10-26,felony,property,2012-10-26
1063563,11932632,2014-02-01,misdemeanor,property,2014-02-01
14780,11966928,2016-04-12,misdemeanor,drug,2016-04-12
79024,11996714,2017-11-13,misdemeanor,property,2017-11-13
1065031,12005396,2018-01-06,felony,property,2018-01-06
1065333,12006104,2018-04-14,misdemeanor,violent,2018-04-14
78820,12006177,2018-04-03,misdemeanor,violent,2018-04-03
1065548,12005589,2018-06-30,felony,property,2018-06-30
1065548,12005593,2018-06-28,misdemeanor,property,2018-06-28
1065548,12005591,2018-06-30,misdemeanor,drug,2018-06-30
1065717,12005804,2018-05-25,misdemeanor,property,2018-05-25
20010,12006757,2018-12-04,misdemeanor,property,2018-12-04
19918,12007113,2018-09-22,misdemeanor,property,2018-09-22
1063563,11996409,2017-11-13,misdemeanor,property,2017-11-13
1064456,11996616,2017-12-03,misdemeanor,violent,2017-12-03
1065197,12006673,2018-12-19,misdemeanor,violent,2018-12-19
1065214,12006021,2018-04-27,misdemeanor,violent,2018-04-27
1063563,12006592,2018-02-14,misdemeanor,drug,2018-02-14
1063563,12006598,2018-02-14,misdemeanor,property,2018-02-14
14260,12007268,2018-08-27,misdemeanor,violent,2018-08-27
1064456,12007088,2018-09-26,misdemeanor,violent,2018-09-26
79024,12008258,2018-09-14,misdemeanor,property,2018-09-14
79024,12008260,2018-09-14,misdemeanor,property,2018-09-14
339988,11282296,2012-08-18,misdemeanor,property,2012-08-18
442499,10986170,2012-11-30,misdemeanor,drug,2012-11-30
126282,11057507,2012-11-06,misdemeanor,violent,2012-11-06
320631,10151988,2013-09-21,misdemeanor,violent,2013-09-21
451627,10605658,2013-04-19,misdemeanor,property,2013-04-19
320209,10623296,2013-04-12,misdemeanor,violent,2013-04-12
69593,10005678,2013-11-14,misdemeanor,drug,2013-11-14
343162,10400920,2013-06-28,misdemeanor,drug,2013-06-28
451627,10408316,2013-06-26,misdemeanor,property,2013-06-26
404843,10116001,2013-10-06,misdemeanor,violent,2013-10-06
316053,9248353,2014-07-15,misdemeanor,violent,2014-07-15
349867,9525994,2014-04-21,misdemeanor,drug,2014-04-21
323098,8413282,2015-04-21,misdemeanor,property,2015-04-21
41991,8452684,2015-04-10,misdemeanor,property,2015-04-10
479529,8507406,2015-03-24,misdemeanor,violent,2015-03-24
482239,7661876,2015-12-11,misdemeanor,property,2015-12-11
339988,8296775,2015-06-01,misdemeanor,property,2015-06-01
483280,7688698,2015-12-06,misdemeanor,drug,2015-12-06
359972,7707743,2015-11-30,misdemeanor,violent,2015-11-30
306222,8099736,2015-08-01,misdemeanor,drug,2015-08-01
306222,8128547,2015-07-23,misdemeanor,drug,2015-07-23
53703,8145182,2015-07-18,misdemeanor,violent,2015-07-18
339988,7999582,2015-09-01,misdemeanor,property,2015-09-01
380061,8338628,2015-05-17,misdemeanor,drug,2015-05-17
339988,8018656,2015-08-26,misdemeanor,property,2015-08-26
92636,8240488,2015-06-18,misdemeanor,property,2015-06-18
349867,7591093,2016-01-06,misdemeanor,property,2016-01-06
320631,6447125,2016-11-10,misdemeanor,property,2016-11-10
339988,7320589,2016-03-22,misdemeanor,property,2016-03-22
338042,6472577,2016-11-02,misdemeanor,violent,2016-11-02
320631,6305418,2016-12-23,misdemeanor,property,2016-12-23
359972,6914953,2016-06-26,misdemeanor,violent,2016-06-26
509811,6917238,2016-06-24,misdemeanor,violent,2016-06-24
53882,6920979,2016-06-23,felony,property,2016-06-23
69777,6500645,2016-10-24,misdemeanor,violent,2016-10-24
318135,6935982,2016-06-17,misdemeanor,drug,2016-06-17
512354,7388658,2016-03-03,felony,property,2016-03-03
53858,6806429,2016-07-26,misdemeanor,drug,2016-07-26
320631,6564193,2016-10-05,misdemeanor,property,2016-10-05
479978,7017977,2016-05-24,misdemeanor,property,2016-05-24
53858,6824921,2016-07-20,misdemeanor,drug,2016-07-20
522552,7142595,2016-05-10,felony,other,2016-05-10
525326,7213308,2016-04-19,misdemeanor,drug,2016-04-19
342694,6871892,2016-07-06,misdemeanor,violent,2016-07-06
339988,7270525,2016-04-05,misdemeanor,property,2016-04-05
316053,5727106,2017-05-26,misdemeanor,drug,2017-05-26
72764,6038914,2017-03-06,misdemeanor,property,2017-03-06
72764,6078691,2017-02-23,felony,property,2017-02-23
66832,6114440,2017-02-15,misdemeanor,violent,2017-02-15
316053,5831077,2017-04-28,misdemeanor,violent,2017-04-28
316053,5846290,2017-04-25,misdemeanor,property,2017-04-25
320631,5865392,2017-04-20,misdemeanor,property,2017-04-20
336042,5348920,2017-08-15,misdemeanor,property,2017-08-15
336599,5923311,2017-04-05,misdemeanor,violent,2017-04-05
320631,5727015,2017-05-26,misdemeanor,property,2017-05-26
342694,4203926,2018-03-10,misdemeanor,violent,2018-03-10
342694,4101148,2018-03-28,misdemeanor,violent,2018-03-28
355986,3924650,2018-04-16,misdemeanor,violent,2018-04-16
355986,3924651,2018-04-16,misdemeanor,violent,2018-04-16
323098,3551967,2018-06-22,misdemeanor,property,2018-06-22
359972,3836808,2018-05-01,misdemeanor,violent,2018-05-01
358458,3202042,2018-08-08,misdemeanor,violent,2018-08-08
344444,2039030,2019-03-18,misdemeanor,property,2019-03-18
344444,2150760,2019-02-28,misdemeanor,property,2019-02-28
66046,2137517,2019-03-04,misdemeanor,violent,2019-03-04
349867,2119192,2019-03-06,misdemeanor,property,2019-03-06
94941,7341319,2020-10-22,misdemeanor,property,2020-10-22
342694,4929704,2020-09-01,misdemeanor,violent,2020-09-01
344444,4906452,2020-08-28,misdemeanor,property,2020-08-28
66832,11464725,2012-06-15,misdemeanor,violent,2012-06-15
69058,11238732,2012-09-03,felony,violent,2012-09-03
65964,10943037,2012-12-16,felony,violent,2012-12-16
324828,10986151,2012-11-30,felony,violent,2012-11-30
65964,9677832,2014-02-27,misdemeanor,drug,2014-02-27
336042,9743628,2014-02-04,misdemeanor,property,2014-02-04
126282,9788181,2014-01-17,felony,violent,2014-01-17
32779,9473895,2014-05-08,misdemeanor,violent,2014-05-08
404843,9591595,2014-03-29,misdemeanor,property,2014-03-29
349867,8827711,2014-12-07,misdemeanor,drug,2014-12-07
65387,5052909,2017-10-06,misdemeanor,violent,2017-10-06
15340,5895654,2017-04-12,misdemeanor,drug,2017-04-12
319551,4977134,2017-10-20,misdemeanor,property,2017-10-20
72764,5776412,2017-05-13,misdemeanor,property,2017-05-13
320209,5140311,2017-09-21,misdemeanor,property,2017-09-21
68785,6074501,2017-02-24,felony,violent,2017-02-24
68785,6074502,2017-02-24,felony,violent,2017-02-24
319551,4883147,2017-11-02,misdemeanor,drug,2017-11-02
319551,6096198,2017-02-19,misdemeanor,drug,2017-02-19
323098,5801992,2017-05-07,misdemeanor,property,2017-05-07
323098,5801994,2017-05-07,misdemeanor,property,2017-05-07
323098,5801995,2017-05-07,misdemeanor,property,2017-05-07
65387,4758548,2017-11-26,misdemeanor,other,2017-11-26
324828,8131741,2017-12-18,felony,violent,2017-12-18
67939,5901499,2017-04-11,misdemeanor,property,2017-04-11
327163,4612031,2017-12-20,felony,violent,2017-12-20
68121,4871805,2017-11-05,felony,property,2017-11-05
65387,4761528,2017-11-24,misdemeanor,other,2017-11-24
126282,4778011,2017-11-20,misdemeanor,other,2017-11-20
69058,4989233,2017-10-18,misdemeanor,other,2017-10-18
333745,5846255,2017-04-25,misdemeanor,property,2017-04-25
69593,6020372,2017-03-10,felony,violent,2017-03-10
69058,5354790,2017-08-14,misdemeanor,other,2017-08-14
320631,6201157,2017-01-24,misdemeanor,drug,2017-01-24
320631,5884343,2017-04-16,misdemeanor,drug,2017-04-16
316053,5560634,2017-07-03,misdemeanor,drug,2017-07-03
339988,5998375,2017-03-17,misdemeanor,other,2017-03-17
69831,6029745,2017-03-08,felony,drug,2017-03-08
343162,4129776,2018-03-24,misdemeanor,other,2018-03-24
69085,4131834,2018-03-23,misdemeanor,drug,2018-03-23
336042,4202153,2018-03-11,misdemeanor,other,2018-03-11
126282,4516013,2018-01-12,felony,property,2018-01-12
69058,2683902,2018-11-16,felony,violent,2018-11-16
347083,3412511,2018-07-17,misdemeanor,violent,2018-07-17
306222,3939111,2018-04-15,felony,other,2018-04-15
66046,3051221,2018-09-09,felony,violent,2018-09-09
66832,4100820,2018-03-28,felony,violent,2018-03-28
69058,4570805,2018-01-01,misdemeanor,other,2018-01-01
342694,3479192,2018-07-06,misdemeanor,violent,2018-07-06
48080,3784967,2018-05-10,misdemeanor,drug,2018-05-10
358458,3672217,2018-05-31,misdemeanor,violent,2018-05-31
126282,3135717,2018-08-23,misdemeanor,property,2018-08-23
65834,3091885,2018-08-31,felony,property,2018-08-31
323098,3135420,2018-08-23,misdemeanor,property,2018-08-23
65745,3474520,2018-07-08,misdemeanor,property,2018-07-08
65745,3464865,2018-07-10,felony,property,2018-07-10
336042,3851368,2018-04-29,misdemeanor,other,2018-04-29
65745,3037386,2018-09-11,felony,violent,2018-09-11
336042,4317176,2018-02-18,misdemeanor,other,2018-02-18
65745,4392884,2018-02-04,felony,violent,2018-02-04
126282,3573863,2018-06-20,misdemeanor,property,2018-06-20
65316,704333,2019-11-08,felony,violent,2019-11-08
13592,2460169,2019-01-01,felony,violent,2019-01-01
65745,694240,2019-11-11,misdemeanor,violent,2019-11-11
259056,1327786,2019-07-09,felony,property,2019-07-09
266457,2431294,2019-01-07,felony,other,2019-01-07
342694,1493960,2019-06-06,felony,violent,2019-06-06
65745,1018287,2019-09-08,misdemeanor,drug,2019-09-08
320631,10104618,2020-12-19,misdemeanor,drug,2020-12-19
126282,7341352,2020-10-22,misdemeanor,other,2020-10-22
66208,209785,2020-02-19,felony,violent,2020-02-19
65964,10147169,2013-09-23,misdemeanor,drug,2013-09-23
339988,10160364,2013-09-18,misdemeanor,other,2013-09-18
339988,9977487,2013-11-22,misdemeanor,property,2013-11-22
98350,10229063,2013-08-26,felony,violent,2013-08-26
126282,10041067,2013-11-01,misdemeanor,drug,2013-11-01
456897,10047622,2013-10-30,misdemeanor,drug,2013-10-30
15353,10321447,2013-07-26,felony,property,2013-07-26
344444,10706566,2013-03-14,misdemeanor,property,2013-03-14
65964,9877461,2013-12-19,felony,violent,2013-12-19
474178,7888850,2015-10-06,misdemeanor,drug,2015-10-06
339988,8390645,2015-04-29,misdemeanor,other,2015-04-29
66829,8072611,2015-08-10,felony,violent,2015-08-10
66832,8076852,2015-08-09,felony,violent,2015-08-09
316053,8146633,2015-07-17,misdemeanor,drug,2015-07-17
342986,8306089,2015-05-28,felony,violent,2015-05-28
15353,7847274,2015-10-17,misdemeanor,property,2015-10-17
55112,8253087,2015-06-15,misdemeanor,other,2015-06-15
126282,6444267,2016-11-12,misdemeanor,property,2016-11-12
48080,6445341,2016-11-11,felony,property,2016-11-11
339988,7603753,2016-01-02,misdemeanor,property,2016-01-02
63935,6724283,2016-08-20,misdemeanor,property,2016-08-20
320631,6479891,2016-10-31,misdemeanor,property,2016-10-31
71257,6906271,2016-06-28,misdemeanor,property,2016-06-28
69058,6745254,2016-08-14,misdemeanor,other,2016-08-14
69058,6933721,2016-06-19,misdemeanor,violent,2016-06-19
121540,6936297,2016-06-17,felony,other,2016-06-17
320631,6963770,2016-06-10,misdemeanor,property,2016-06-10
53703,6648850,2016-09-11,felony,violent,2016-09-11
69058,6671515,2016-09-04,felony,other,2016-09-04
320631,6334312,2016-12-14,misdemeanor,property,2016-12-14
320631,6338766,2016-12-13,misdemeanor,drug,2016-12-13
54200,6340185,2016-12-13,misdemeanor,property,2016-12-13
524218,7175419,2016-04-30,misdemeanor,other,2016-04-30
63935,7181598,2016-04-29,felony,property,2016-04-29
63935,7181599,2016-04-29,felony,property,2016-04-29
63935,7181596,2016-04-29,felony,property,2016-04-29
63935,7181597,2016-04-29,felony,property,2016-04-29
55112,7200043,2016-04-23,felony,drug,2016-04-23
54289,7266260,2016-04-06,misdemeanor,violent,2016-04-06
339988,7532717,2016-01-22,misdemeanor,property,2016-01-22
339988,11213780,2012-09-11,misdemeanor,property,2012-09-11
69593,8626366,2015-02-11,misdemeanor,drug,2015-02-11
15353,8101112,2015-07-31,misdemeanor,violent,2015-07-31
53882,6413834,2016-11-16,misdemeanor,property,2016-11-16
48080,2684186,2018-11-16,misdemeanor,property,2018-11-16
55112,11271102,2012-08-22,misdemeanor,property,2012-08-22
65316,11319949,2012-08-06,misdemeanor,violent,2012-08-06
40226,11518120,2012-05-29,misdemeanor,other,2012-05-29
66832,11341319,2012-07-30,misdemeanor,drug,2012-07-30
67939,11431407,2012-06-27,misdemeanor,property,2012-06-27
98350,10153814,2013-09-20,felony,violent,2013-09-20
69058,10009163,2013-11-13,felony,violent,2013-11-13
15353,10235142,2013-08-23,felony,property,2013-08-23
1256556,10235226,2013-08-23,felony,violent,2013-08-23
65964,9706604,2014-02-18,felony,violent,2014-02-18
65964,9706603,2014-02-18,misdemeanor,other,2014-02-18
126282,9730202,2014-02-07,felony,violent,2014-02-07
32779,8982977,2014-10-10,misdemeanor,violent,2014-10-10
55112,9430574,2014-05-23,misdemeanor,property,2014-05-23
65964,9613156,2014-03-21,felony,drug,2014-03-21
47004,5276270,2017-08-29,misdemeanor,violent,2017-08-29
53858,5835207,2017-04-27,misdemeanor,drug,2017-04-27
53858,5835205,2017-04-27,misdemeanor,drug,2017-04-27
53703,5608628,2017-06-20,misdemeanor,violent,2017-06-20
69777,5613431,2017-06-19,misdemeanor,violent,2017-06-19
55112,7627415,2015-12-22,misdemeanor,other,2015-12-22
342986,8101147,2015-07-31,felony,violent,2015-07-31
358458,7901653,2015-10-01,misdemeanor,other,2015-10-01
